Day,Date,Headcount,Time
Thursday,2023-08-24,2,12:15
Thursday,2023-08-24,2,12:40
Thursday,2023-08-24,0,13:00
Thursday,2023-08-24,2,13:17
Thursday,2023-08-24,3,13:35
Thursday,2023-08-24,6,14:15
Thursday,2023-08-24,0,14:45
Thursday,2023-08-24,2,15:15
Thursday,2023-08-24,4,15:45
Thursday,2023-08-24,0,16:15
Thursday,2023-08-24,2,16:30
Thursday,2023-08-24,4,16:50
Thursday,2023-08-24,4,17:00
Thursday,2023-08-24,4,17:20
Thursday,2023-08-24,0,17:45
Thursday,2023-08-24,0,18:05
Thursday,2023-08-24,0,18:25
Thursday,2023-08-24,1,18:45
Thursday,2023-08-24,1,19:05
Thursday,2023-08-24,1,19:25
Thursday,2023-08-24,0,19:45
Thursday,2023-08-24,0,20:00
Friday,2023-08-25,18,12:15
Friday,2023-08-25,2,12:46
Friday,2023-08-25,6,13:05
Friday,2023-08-25,8,13:15
Friday,2023-08-25,7,13:39
Friday,2023-08-25,0,14:05
Friday,2023-08-25,0,14:30
Friday,2023-08-25,65,14:45
Friday,2023-08-25,65,15:00
Friday,2023-08-25,65,15:15
Friday,2023-08-25,5,15:30
Friday,2023-08-25,13,15:45
Friday,2023-08-25,2,16:15
Friday,2023-08-25,0,16:30
Friday,2023-08-25,0,16:45
Friday,2023-08-25,25,17:00
Friday,2023-08-25,27,17:25
Friday,2023-08-25,15,17:40
Friday,2023-08-25,0,17:55
Friday,2023-08-25,0,18:10
Friday,2023-08-25,13,18:30
Friday,2023-08-25,2,18:50
Friday,2023-08-25,3,19:10
Friday,2023-08-25,3,19:30
Friday,2023-08-25,0,19:50
Friday,2023-08-25,2,20:14
Friday,2023-08-25,5,20:39
Friday,2023-08-25,14,21:11
Friday,2023-08-25,9,21:25
Friday,2023-08-25,13,21:33
Friday,2023-08-25,12,21:52
Friday,2023-08-25,1,22:16
Friday,2023-08-25,0,22:28
Saturday,2023-08-26,2,12:15
Saturday,2023-08-26,15,12:40
Saturday,2023-08-26,23,12:50
Saturday,2023-08-26,16,13:10
Saturday,2023-08-26,11,13:30
Saturday,2023-08-26,11,13:55
Saturday,2023-08-26,8,14:17
Saturday,2023-08-26,7,14:33
Saturday,2023-08-26,12,15:00
Saturday,2023-08-26,25,15:11
Saturday,2023-08-26,1,15:34
Saturday,2023-08-26,0,16:03
Saturday,2023-08-26,1,16:20
Saturday,2023-08-26,6,16:41
Saturday,2023-08-26,9,17:03
Saturday,2023-08-26,10,17:31
Saturday,2023-08-26,20,18:10
Saturday,2023-08-26,30,18:30
Saturday,2023-08-26,32,18:45
Saturday,2023-08-26,35,19:00
Saturday,2023-08-26,55,19:20
Saturday,2023-08-26,48,19:40
Saturday,2023-08-26,50,20:10
Saturday,2023-08-26,25,20:40
Saturday,2023-08-26,36,21:00
Saturday,2023-08-26,30,21:20
Saturday,2023-08-26,27,21:40
Saturday,2023-08-26,21,22:00
Saturday,2023-08-26,3,22:20
Saturday,2023-08-26,1,22:40
Saturday,2023-08-26,1,23:00
Saturday,2023-08-26,1,23:20
Saturday,2023-08-26,3,23:40
Saturday,2023-08-26,1,00:00
Sunday,2023-08-27,2,12:00
Sunday,2023-08-27,8,12:20
Sunday,2023-08-27,22,12:35
Sunday,2023-08-27,26,12:50
Sunday,2023-08-27,37,13:05
Sunday,2023-08-27,42,13:20
Sunday,2023-08-27,21,13:40
Sunday,2023-08-27,38,13:55
Sunday,2023-08-27,4,14:10
Sunday,2023-08-27,0,14:15
Sunday,2023-08-27,3,14:21
Sunday,2023-08-27,12,14:27
Sunday,2023-08-27,16,14:40
Sunday,2023-08-27,7,15:10
Sunday,2023-08-27,10,15:20
Sunday,2023-08-27,7,15:33
Sunday,2023-08-27,6,15:42
Sunday,2023-08-27,11,16:07
Sunday,2023-08-27,5,16:18
Sunday,2023-08-27,10,16:35
Sunday,2023-08-27,5,17:05
Sunday,2023-08-27,8,17:30
Sunday,2023-08-27,35,18:20
Sunday,2023-08-27,28,18:40
Sunday,2023-08-27,3,19:00
Sunday,2023-08-27,12,19:30
Sunday,2023-08-27,22,19:45
Sunday,2023-08-27,12,20:00
Sunday,2023-08-27,0,20:15
Monday,2023-08-28,12,12:08
Monday,2023-08-28,20,12:29
Monday,2023-08-28,22,13:03
Monday,2023-08-28,18,13:30
Monday,2023-08-28,24,14:15
Monday,2023-08-28,27,14:45
Monday,2023-08-28,16,15:15
Monday,2023-08-28,18,15:45
Monday,2023-08-28,20,16:35
Monday,2023-08-28,25,17:05
Monday,2023-08-28,25,17:35
Monday,2023-08-28,20,18:10
Monday,2023-08-28,12,19:01
Tuesday,2023-09-29,10,12:07
Tuesday,2023-09-29,17,12:32
Tuesday,2023-09-29,18,13:02
Tuesday,2023-09-29,15,13:33
Tuesday,2023-09-29,28,14:00
Tuesday,2023-09-29,22,14:30
Tuesday,2023-09-29,15,15:00
Tuesday,2023-09-29,17,15:20
Tuesday,2023-09-29,10,15:40
Tuesday,2023-09-29,8,16:00
Tuesday,2023-09-29,13,16:30
Tuesday,2023-09-29,15,17:00
Tuesday,2023-09-29,13,17:30
Tuesday,2023-09-29,27,18:21
Tuesday,2023-09-29,16,19:20
Tuesday,2023-09-29,23,19:40
Wednesday,2023-09-30,3,12:10
Wednesday,2023-09-30,6,12:25
Wednesday,2023-09-30,4,12:34
Wednesday,2023-09-30,0,12:45
Wednesday,2023-09-30,2,12:47
Wednesday,2023-09-30,8,13:27
