Day,Date,Headcount,Time,Days Since Semester Start,Table Game Rentals That Day,Video Game Rentals That Day,Board Game Rentals That Day,Total Rentals That Day,Total Duration Of Table Game Rentals That Day,Total Duration Of Video Game Rentals That Day,Total Duration Of Board Game Rentals That Day,Total Duration of Rentals That Day,Minutes Since Opening
Thursday,8/24/2023,2,12:15,1,10,0,0,10,327,0,0,327,150
Thursday,8/24/2023,2,12:40,1,10,0,0,10,327,0,0,327,175
Thursday,8/24/2023,0,13:00,1,10,0,0,10,327,0,0,327,195
Thursday,8/24/2023,2,13:17,1,10,0,0,10,327,0,0,327,212
Thursday,8/24/2023,3,13:35,1,10,0,0,10,327,0,0,327,230
Thursday,8/24/2023,6,14:15,1,10,0,0,10,327,0,0,327,270
Thursday,8/24/2023,0,14:45,1,10,0,0,10,327,0,0,327,300
Thursday,8/24/2023,2,15:15,1,10,0,0,10,327,0,0,327,330
Thursday,8/24/2023,4,15:45,1,10,0,0,10,327,0,0,327,360
Thursday,8/24/2023,0,16:15,1,10,0,0,10,327,0,0,327,390
Thursday,8/24/2023,2,16:30,1,10,0,0,10,327,0,0,327,405
Thursday,8/24/2023,4,16:50,1,10,0,0,10,327,0,0,327,425
Thursday,8/24/2023,4,17:00,1,10,0,0,10,327,0,0,327,435
Thursday,8/24/2023,4,17:20,1,10,0,0,10,327,0,0,327,455
Thursday,8/24/2023,0,17:45,1,10,0,0,10,327,0,0,327,480
Thursday,8/24/2023,0,18:05,1,10,0,0,10,327,0,0,327,500
Thursday,8/24/2023,0,18:25,1,10,0,0,10,327,0,0,327,520
Thursday,8/24/2023,1,18:45,1,10,0,0,10,327,0,0,327,540
Thursday,8/24/2023,1,19:05,1,10,0,0,10,327,0,0,327,560
Thursday,8/24/2023,1,19:25,1,10,0,0,10,327,0,0,327,580
Thursday,8/24/2023,0,19:45,1,10,0,0,10,327,0,0,327,600
Thursday,8/24/2023,0,20:00,1,10,0,0,10,327,0,0,327,615
Friday,8/25/2023,18,12:15,2,48,3,1,52,1062,129,22,1213,150
Friday,8/25/2023,2,12:46,2,48,3,1,52,1062,129,22,1213,181
Friday,8/25/2023,6,13:05,2,48,3,1,52,1062,129,22,1213,200
Friday,8/25/2023,8,13:15,2,48,3,1,52,1062,129,22,1213,210
Friday,8/25/2023,7,13:39,2,48,3,1,52,1062,129,22,1213,234
Friday,8/25/2023,0,14:05,2,48,3,1,52,1062,129,22,1213,260
Friday,8/25/2023,0,14:30,2,48,3,1,52,1062,129,22,1213,285
Friday,8/25/2023,65,14:45,2,48,3,1,52,1062,129,22,1213,300
Friday,8/25/2023,65,15:00,2,48,3,1,52,1062,129,22,1213,315
Friday,8/25/2023,65,15:15,2,48,3,1,52,1062,129,22,1213,330
Friday,8/25/2023,5,15:30,2,48,3,1,52,1062,129,22,1213,345
Friday,8/25/2023,13,15:45,2,48,3,1,52,1062,129,22,1213,360
Friday,8/25/2023,2,16:15,2,48,3,1,52,1062,129,22,1213,390
Friday,8/25/2023,0,16:30,2,48,3,1,52,1062,129,22,1213,405
Friday,8/25/2023,0,16:45,2,48,3,1,52,1062,129,22,1213,420
Friday,8/25/2023,25,17:00,2,48,3,1,52,1062,129,22,1213,435
Friday,8/25/2023,27,17:25,2,48,3,1,52,1062,129,22,1213,460
Friday,8/25/2023,15,17:40,2,48,3,1,52,1062,129,22,1213,475
Friday,8/25/2023,0,17:55,2,48,3,1,52,1062,129,22,1213,490
Friday,8/25/2023,0,18:10,2,48,3,1,52,1062,129,22,1213,505
Friday,8/25/2023,13,18:30,2,48,3,1,52,1062,129,22,1213,525
Friday,8/25/2023,2,18:50,2,48,3,1,52,1062,129,22,1213,545
Friday,8/25/2023,3,19:10,2,48,3,1,52,1062,129,22,1213,565
Friday,8/25/2023,3,19:30,2,48,3,1,52,1062,129,22,1213,585
Friday,8/25/2023,0,19:50,2,48,3,1,52,1062,129,22,1213,605
Friday,8/25/2023,2,20:14,2,48,3,1,52,1062,129,22,1213,629
Friday,8/25/2023,5,20:39,2,48,3,1,52,1062,129,22,1213,654
Friday,8/25/2023,14,21:11,2,48,3,1,52,1062,129,22,1213,686
Friday,8/25/2023,9,21:25,2,48,3,1,52,1062,129,22,1213,700
Friday,8/25/2023,13,21:33,2,48,3,1,52,1062,129,22,1213,708
Friday,8/25/2023,12,21:52,2,48,3,1,52,1062,129,22,1213,727
Friday,8/25/2023,1,22:16,2,48,3,1,52,1062,129,22,1213,751
Friday,8/25/2023,0,22:28,2,48,3,1,52,1062,129,22,1213,763
Saturday,8/26/2023,2,12:15,3,69,7,3,79,2209,361,156,2726,150
Saturday,8/26/2023,15,12:40,3,69,7,3,79,2209,361,156,2726,175
Saturday,8/26/2023,23,12:50,3,69,7,3,79,2209,361,156,2726,185
Saturday,8/26/2023,16,13:10,3,69,7,3,79,2209,361,156,2726,205
Saturday,8/26/2023,11,13:30,3,69,7,3,79,2209,361,156,2726,225
Saturday,8/26/2023,11,13:55,3,69,7,3,79,2209,361,156,2726,250
Saturday,8/26/2023,8,14:17,3,69,7,3,79,2209,361,156,2726,272
Saturday,8/26/2023,7,14:33,3,69,7,3,79,2209,361,156,2726,288
Saturday,8/26/2023,12,15:00,3,69,7,3,79,2209,361,156,2726,315
Saturday,8/26/2023,25,15:11,3,69,7,3,79,2209,361,156,2726,326
Saturday,8/26/2023,1,15:34,3,69,7,3,79,2209,361,156,2726,349
Saturday,8/26/2023,0,16:03,3,69,7,3,79,2209,361,156,2726,378
Saturday,8/26/2023,1,16:20,3,69,7,3,79,2209,361,156,2726,395
Saturday,8/26/2023,6,16:41,3,69,7,3,79,2209,361,156,2726,416
Saturday,8/26/2023,9,17:03,3,69,7,3,79,2209,361,156,2726,438
Saturday,8/26/2023,10,17:31,3,69,7,3,79,2209,361,156,2726,466
Saturday,8/26/2023,20,18:10,3,69,7,3,79,2209,361,156,2726,505
Saturday,8/26/2023,30,18:30,3,69,7,3,79,2209,361,156,2726,525
Saturday,8/26/2023,32,18:45,3,69,7,3,79,2209,361,156,2726,540
Saturday,8/26/2023,35,19:00,3,69,7,3,79,2209,361,156,2726,555
Saturday,8/26/2023,55,19:20,3,69,7,3,79,2209,361,156,2726,575
Saturday,8/26/2023,48,19:40,3,69,7,3,79,2209,361,156,2726,595
Saturday,8/26/2023,50,20:10,3,69,7,3,79,2209,361,156,2726,625
Saturday,8/26/2023,25,20:40,3,69,7,3,79,2209,361,156,2726,655
Saturday,8/26/2023,36,21:00,3,69,7,3,79,2209,361,156,2726,675
Saturday,8/26/2023,30,21:20,3,69,7,3,79,2209,361,156,2726,695
Saturday,8/26/2023,27,21:40,3,69,7,3,79,2209,361,156,2726,715
Saturday,8/26/2023,21,22:00,3,69,7,3,79,2209,361,156,2726,735
Saturday,8/26/2023,3,22:20,3,69,7,3,79,2209,361,156,2726,755
Saturday,8/26/2023,1,22:40,3,69,7,3,79,2209,361,156,2726,775
Saturday,8/26/2023,1,23:00,3,69,7,3,79,2209,361,156,2726,795
Saturday,8/26/2023,1,23:20,3,69,7,3,79,2209,361,156,2726,815
Saturday,8/26/2023,3,23:40,3,69,7,3,79,2209,361,156,2726,835
Saturday,8/26/2023,1,0:00,3,69,7,3,79,2209,361,156,2726,855
Sunday,8/27/2023,2,12:00,4,63,8,2,73,1409,334,46,1789,135
Sunday,8/27/2023,8,12:20,4,63,8,2,73,1409,334,46,1789,155
Sunday,8/27/2023,22,12:35,4,63,8,2,73,1409,334,46,1789,170
Sunday,8/27/2023,26,12:50,4,63,8,2,73,1409,334,46,1789,185
Sunday,8/27/2023,37,13:05,4,63,8,2,73,1409,334,46,1789,200
Sunday,8/27/2023,42,13:20,4,63,8,2,73,1409,334,46,1789,215
Sunday,8/27/2023,21,13:40,4,63,8,2,73,1409,334,46,1789,235
Sunday,8/27/2023,38,13:55,4,63,8,2,73,1409,334,46,1789,250
Sunday,8/27/2023,4,14:10,4,63,8,2,73,1409,334,46,1789,265
Sunday,8/27/2023,0,14:15,4,63,8,2,73,1409,334,46,1789,270
Sunday,8/27/2023,3,14:21,4,63,8,2,73,1409,334,46,1789,276
Sunday,8/27/2023,12,14:27,4,63,8,2,73,1409,334,46,1789,282
Sunday,8/27/2023,16,14:40,4,63,8,2,73,1409,334,46,1789,295
Sunday,8/27/2023,7,15:10,4,63,8,2,73,1409,334,46,1789,325
Sunday,8/27/2023,10,15:20,4,63,8,2,73,1409,334,46,1789,335
Sunday,8/27/2023,7,15:33,4,63,8,2,73,1409,334,46,1789,348
Sunday,8/27/2023,6,15:42,4,63,8,2,73,1409,334,46,1789,357
Sunday,8/27/2023,11,16:07,4,63,8,2,73,1409,334,46,1789,382
Sunday,8/27/2023,5,16:18,4,63,8,2,73,1409,334,46,1789,393
Sunday,8/27/2023,10,16:35,4,63,8,2,73,1409,334,46,1789,410
Sunday,8/27/2023,5,17:05,4,63,8,2,73,1409,334,46,1789,440
Sunday,8/27/2023,8,17:30,4,63,8,2,73,1409,334,46,1789,465
Sunday,8/27/2023,35,18:20,4,63,8,2,73,1409,334,46,1789,515
Sunday,8/27/2023,28,18:40,4,63,8,2,73,1409,334,46,1789,535
Sunday,8/27/2023,3,19:00,4,63,8,2,73,1409,334,46,1789,555
Sunday,8/27/2023,12,19:30,4,63,8,2,73,1409,334,46,1789,585
Sunday,8/27/2023,22,19:45,4,63,8,2,73,1409,334,46,1789,600
Sunday,8/27/2023,12,20:00,4,63,8,2,73,1409,334,46,1789,615
Sunday,8/27/2023,0,20:15,4,63,8,2,73,1409,334,46,1789,630
Monday,8/28/2023,12,12:08,5,66,7,15,88,2197,152,520,2869,143
Monday,8/28/2023,20,12:29,5,66,7,15,88,2197,152,520,2869,164
Monday,8/28/2023,22,13:03,5,66,7,15,88,2197,152,520,2869,198
Monday,8/28/2023,18,13:30,5,66,7,15,88,2197,152,520,2869,225
Monday,8/28/2023,24,14:15,5,66,7,15,88,2197,152,520,2869,270
Monday,8/28/2023,27,14:45,5,66,7,15,88,2197,152,520,2869,300
Monday,8/28/2023,16,15:15,5,66,7,15,88,2197,152,520,2869,330
Monday,8/28/2023,18,15:45,5,66,7,15,88,2197,152,520,2869,360
Monday,8/28/2023,20,16:35,5,66,7,15,88,2197,152,520,2869,410
Monday,8/28/2023,25,17:05,5,66,7,15,88,2197,152,520,2869,440
Monday,8/28/2023,25,17:35,5,66,7,15,88,2197,152,520,2869,470
Monday,8/28/2023,20,18:10,5,66,7,15,88,2197,152,520,2869,505
Monday,8/28/2023,12,19:01,5,66,7,15,88,2197,152,520,2869,556
Tuesday,8/29/2023,10,12:07,6,56,3,4,63,3219,181,142,3542,142
Tuesday,8/29/2023,17,12:32,6,56,3,4,63,3219,181,142,3542,167
Tuesday,8/29/2023,18,13:02,6,56,3,4,63,3219,181,142,3542,197
Tuesday,8/29/2023,15,13:33,6,56,3,4,63,3219,181,142,3542,228
Tuesday,8/29/2023,28,14:00,6,56,3,4,63,3219,181,142,3542,255
Tuesday,8/29/2023,22,14:30,6,56,3,4,63,3219,181,142,3542,285
Tuesday,8/29/2023,15,15:00,6,56,3,4,63,3219,181,142,3542,315
Tuesday,8/29/2023,17,15:20,6,56,3,4,63,3219,181,142,3542,335
Tuesday,8/29/2023,10,15:40,6,56,3,4,63,3219,181,142,3542,355
Tuesday,8/29/2023,8,16:00,6,56,3,4,63,3219,181,142,3542,375
Tuesday,8/29/2023,13,16:30,6,56,3,4,63,3219,181,142,3542,405
Tuesday,8/29/2023,15,17:00,6,56,3,4,63,3219,181,142,3542,435
Tuesday,8/29/2023,13,17:30,6,56,3,4,63,3219,181,142,3542,465
Tuesday,8/29/2023,27,18:21,6,56,3,4,63,3219,181,142,3542,516
Tuesday,8/29/2023,16,19:20,6,56,3,4,63,3219,181,142,3542,575
Tuesday,8/29/2023,23,19:40,6,56,3,4,63,3219,181,142,3542,595
Wednesday,8/30/2023,3,12:10,7,45,9,0,54,1306,360,0,1666,145
Wednesday,8/30/2023,6,12:25,7,45,9,0,54,1306,360,0,1666,160
Wednesday,8/30/2023,4,12:34,7,45,9,0,54,1306,360,0,1666,169
Wednesday,8/30/2023,0,12:45,7,45,9,0,54,1306,360,0,1666,180
Wednesday,8/30/2023,2,12:47,7,45,9,0,54,1306,360,0,1666,182
Wednesday,8/30/2023,8,13:27,7,45,9,0,54,1306,360,0,1666,222
