Date,Unique ID,Game,Time In,Time Out,Duration (minutes)
2024-08-25,1,Jenga,15:15,15:40,25
2024-08-25,2,Chess,18:13,18:36,23
2024-08-25,3,Deck of Cards,20:54,21:59,65
2024-08-29,4,Deck of Cards,17:28,17:46,18
2024-08-29,5,Chess,17:41,18:16,35
2024-08-30,6,Other: specify in Notes,12:11,13:11,60
2024-08-30,7,Chess,14:34,14:40,6
2024-08-30,8,Connect Four,17:44,17:55,11
2024-08-30,9,Sorry!,21:21,22:19,58
2024-08-30,3,Other: specify in Notes,19:42,00:20,-1162
2024-08-30,10,Chess,23:00,00:20,-1360
2024-09-01,11,Pictionary,20:36,21:06,30
2024-09-01,12,Catan,20:58,22:00,62
2024-09-05,13,Catan,14:39,15:48,69
2024-09-06,14,Uno,19:58,20:18,20
2024-09-06,15,Catan,21:26,21:38,12
2024-09-07,10,Other: specify in Notes,18:17,23:45,328
2024-09-07,16,Connect Four,18:32,20:33,121
2024-09-07,17,Uno,19:10,20:33,83
2024-09-07,18,Sorry!,19:10,20:33,83
2024-09-07,19,Catan,19:35,20:47,72
2024-09-11,20,Set,19:49,20:11,22
2024-09-13,10,Catan,18:00,20:25,145
2024-09-13,21,Catan,19:13,20:29,76
2024-09-13,22,Ticket to Ride,19:32,20:29,57
2024-09-13,23,Bananagrams,21:30,22:08,38
2024-09-13,23,Taboo,22:11,23:23,72
2024-09-14,24,Bananagrams,17:14,17:46,32
2024-09-20,3,Chess,17:46,19:11,85
2024-09-24,25,Other: specify in Notes,15:28,17:19,111
2024-09-24,26,Chess,16:15,17:58,103
2024-09-24,27,Chess,12:25,13:01,36
2024-09-24,27,Connect Four,13:01,13:17,16
2024-09-26,28,Sorry!,16:53,19:02,129
2024-09-26,29,Connect Four,16:53,19:02,129
2024-09-26,30,Other: specify in Notes,16:53,19:02,129
2024-09-26,19,Bananagrams,18:49,19:23,34
2024-09-26,31,,15:59,17:09,70
2024-09-27,6,Other: specify in Notes,19:30,22:04,154
2024-09-28,32,Ticket to Ride,12:51,13:53,62
2024-10-05,33,Sorry!,12:00,14:05,125
2024-10-05,34,Sorry!,18:01,19:35,94
2024-10-09,35,Other: specify in Notes,12:59,13:20,21
2024-10-09,6,Sorry!,15:37,16:30,53
2024-10-16,36,Mahjong,16:00,16:15,15
2024-10-18,6,Sorry!,11:31,12:23,52
2024-10-18,25,Other: specify in Notes,17:58,18:14,16
2024-10-18,37,Jenga,21:34,21:41,7
2024-10-18,37,Deck of Cards,21:41,22:00,19
2024-10-19,38,Other: specify in Notes,12:07,18:00,353
2024-10-20,36,Mahjong,18:17,19:57,100
2024-10-23,39,Chess,15:22,16:36,74
2024-10-28,36,Mahjong,19:07,21:15,128
2024-10-28,15,Catan,22:03,23:15,72
2024-11-08,25,Deck of Cards,19:56,20:58,62
2024-11-09,40,Sorry!,12:09,14:01,112
2024-11-10,41,Other: specify in Notes,14:09,18:43,274
2024-11-19,42,Bananagrams,11:20,11:36,16
2024-11-19,36,Mahjong,19:55,22:00,125
2024-11-21,43,Bananagrams,17:41,19:02,81
2024-11-22,43,Deck of Cards,15:20,19:02,222
2024-12-06,44,Mahjong,19:52,22:00,128
2024-12-06,45,Mahjong,20:16,22:00,104
2024-12-07,46,uno,13:53,16:41,168
2024-12-07,46,Deck of Cards,15:26,16:40,74
2024-12-07,47,Other: specify in Notes,14:23,5:18:30 PM,0
