Date,Unique ID,Console,Game,# of Controllers,Time In,Time Out,Duration (minutes)
2024-08-23,1,Switch,Switch game,1,13:09,14:00,51
2024-08-24,2,Switch,Switch game,3,13:19,14:53,94
2024-08-24,3,Switch,Switch game,2,17:48,18:07,19
2024-08-24,4,Switch,Switch game,4,18:15,18:38,23
2024-08-24,5,Switch,Switch game,2,14:51,15:03,12
2024-08-25,6,PlayStation,The Last of Us,1,17:55,18:46,51
2024-08-25,7,Switch,Switch game,3,18:54,19:03,9
2024-08-25,8,Xbox,Minecraft,2,21:22,22:16,54
2024-08-25,9,PlayStation,Assassin’s Creed Valhalla,3,21:28,22:49,81
2024-08-25,10,Xbox,Unspecified,2,21:38,21:53,15
2024-08-25,11,Switch,Switch game,2,21:53,22:43,50
2024-08-25,6,PlayStation,The Last of Us,1,11:36,13:14,98
2024-08-25,12,Switch,Switch game,2,16:20,17:11,51
2024-08-25,10,Xbox,Call of Duty: Black Ops 3,2,16:58,17:35,37
2024-08-25,13,PlayStation,Mortal Kombat 1,2,17:11,17:35,24
2024-08-25,14,Switch,Switch game,4,21:18,20:44,-34
2024-08-25,15,Switch,Switch game,4,20:50,21:19,29
2024-08-25,16,Xbox,Unspecified,3,12:41,12:44,3
2024-08-25,17,PlayStation,Rocket League: Ultimate Edition,2,13:42,14:15,33
2024-08-25,18,Switch,Switch game,4,13:45,14:17,32
2024-08-25,19,Xbox,Call of Duty: Modern Warfare 3,2,14:19,14:30,11
2024-08-25,20,Switch,Switch game,2,15:21,16:08,47
2024-08-25,21,Xbox,Call of Duty: Black Ops 3,2,15:29,15:41,12
2024-08-25,21,PlayStation,FIFA 23,2,15:41,16:10,29
2024-08-25,22,PlayStation,FIFA 23,2,16:11,16:45,34
2024-08-25,23,Switch,Switch game,4,18:30,19:28,58
2024-08-25,24,Xbox,Lego Star Wars: The Skywalker Saga,2,18:38,19:14,36
2024-08-25,25,Switch,Switch game,3,19:47,20:14,27
2024-08-25,26,Xbox,Halo 5,3,20:20,21:06,46
2024-08-25,27,Switch,Switch game,2,20:13,21:30,77
2024-08-25,28,PlayStation,FIFA 23,2,20:34,21:28,54
2024-08-28,29,Xbox,Madden 16,2,11:05,11:57,52
2024-08-28,30,Switch,Switch game,1,14:37,15:37,60
2024-08-28,1,Xbox,Call of Duty: Modern Warfare 3,1,16:02,16:08,6
2024-08-28,31,Switch,Switch game,2,16:15,17:28,73
2024-08-28,32,Xbox,Forza Horizon 5,3,19:43,20:03,20
2024-08-28,33,Switch,Switch game,2,21:31,22:01,30
2024-08-29,34,PlayStation,FIFA 23,2,13:05,14:05,60
2024-08-29,35,PlayStation,Elden Ring,1,14:06,14:47,41
2024-08-29,36,PlayStation,FIFA 23,2,17:48,18:34,46
2024-08-30,37,Switch,Switch game,2,11:12,11:47,35
2024-08-30,29,Xbox,Madden 24,2,13:15,13:48,33
2024-08-30,36,PlayStation,FIFA 23,2,15:00,15:28,28
2024-08-30,30,Switch,Switch game,4,15:17,15:44,27
2024-08-30,38,Switch,Switch game,4,20:26,20:48,22
2024-08-30,24,PlayStation,Rocket League: Ultimate Edition,2,20:26,21:18,52
2024-08-30,39,Switch,Switch game,2,22:02,23:05,63
2024-08-31,40,Switch,Switch game,4,13:37,14:30,53
2024-08-31,41,Switch,Switch game,2,14:46,15:06,20
2024-08-31,42,PlayStation,FIFA 23,4,16:42,17:46,64
2024-08-31,43,Switch,Switch game,3,17:43,18:44,61
2024-08-31,44,Xbox,FIFA 16,2,18:20,18:45,25
2024-08-31,45,Switch,Switch game,4,18:45,19:29,44
2024-08-31,46,Switch,Switch game,4,19:32,21:18,106
2024-08-31,47,Switch,Switch game,2,20:10,20:10,0
2024-08-31,17,PlayStation,Rocket League: Ultimate Edition,2,20:48,20:56,8
2024-08-31,48,Switch,Switch game,4,21:48,22:55,67
2024-08-31,49,PlayStation,Mortal Kombat 1,2,22:22,23:01,39
2024-08-31,43,PlayStation,Mortal Kombat 1,1,23:01,23:24,23
2024-09-01,50,Switch,Switch game,2,13:03,14:08,65
