Day,Date,Head Count,Time
Wednesday,2024-01-24,4,12:00
Wednesday,2024-01-24,6,12:34
Wednesday,2024-01-24,7,13:22
Wednesday,2024-01-24,10,13:55
Wednesday,2024-01-24,18,14:25
Wednesday,2024-01-24,14,14:40
Wednesday,2024-01-24,15,15:00
Wednesday,2024-01-24,16,15:15
Wednesday,2024-01-24,7,15:30
Wednesday,2024-01-24,7,15:55
Wednesday,2024-01-24,8,16:20
Wednesday,2024-01-24,10,16:40
Wednesday,2024-01-24,21,17:00
Wednesday,2024-01-24,12,17:20
Wednesday,2024-01-24,15,17:40
Wednesday,2024-01-24,17,18:00
Wednesday,2024-01-24,17,18:25
Wednesday,2024-01-24,16,18:45
Wednesday,2024-01-24,13,19:05
Wednesday,2024-01-24,21,19:30
Wednesday,2024-01-24,19,19:40
Wednesday,2024-01-24,14,20:00
Wednesday,2024-01-24,14,20:30
Wednesday,2024-01-24,8,21:00
Wednesday,2024-01-24,5,21:35
Wednesday,2024-01-24,0,22:00
Thursday,2024-01-25,1,10:11
Thursday,2024-01-25,3,10:55
Thursday,2024-01-25,8,11:49
Thursday,2024-01-25,6,12:25
Thursday,2024-01-25,3,13:04
Thursday,2024-01-25,3,13:30
Thursday,2024-01-25,1,14:05
Thursday,2024-01-25,4,14:10
Thursday,2024-01-25,11,14:50
Thursday,2024-01-25,10,15:15
Thursday,2024-01-25,14,15:30
Thursday,2024-01-25,6,15:45
Thursday,2024-01-25,10,16:00
Thursday,2024-01-25,11,16:30
Thursday,2024-01-25,9,17:00
Thursday,2024-01-25,12,17:30
Thursday,2024-01-25,18,18:00
Thursday,2024-01-25,20,18:30
Thursday,2024-01-25,13,19:00
Thursday,2024-01-25,14,19:30
Thursday,2024-01-25,8,20:00
Thursday,2024-01-25,4,20:30
Thursday,2024-01-25,6,21:00
Thursday,2024-01-25,3,21:50
Friday,2024-01-26,4,10:46
Friday,2024-01-26,8,12:22
Friday,2024-01-26,11,13:13
Friday,2024-01-26,13,14:05
Friday,2024-01-26,15,15:15
Friday,2024-01-26,11,16:05
Friday,2024-01-26,9,16:30
Friday,2024-01-26,17,17:00
Friday,2024-01-26,21,17:30
Friday,2024-01-26,16,18:00
Friday,2024-01-26,9,18:30
Friday,2024-01-26,6,19:00
Friday,2024-01-26,9,19:30
Friday,2024-01-26,5,20:30
Friday,2024-01-26,7,21:00
Friday,2024-01-26,2,21:30
Friday,2024-01-26,0,21:55
Saturday,2024-01-27,1,10:30
Saturday,2024-01-27,1,11:00
Saturday,2024-01-27,0,11:30
Saturday,2024-01-27,9,14:05
Saturday,2024-01-27,12,14:30
Saturday,2024-01-27,9,15:00
Saturday,2024-01-27,11,15:30
Saturday,2024-01-27,13,16:00
Saturday,2024-01-27,10,16:30
Saturday,2024-01-27,7,17:00
Saturday,2024-01-27,17,17:30
Saturday,2024-01-27,16,18:00
Saturday,2024-01-27,16,18:30
Saturday,2024-01-27,13,19:00
Saturday,2024-01-27,17,19:30
Saturday,2024-01-27,17,21:30
Saturday,2024-01-27,6,22:00
Sunday,2024-01-28,0,10:00
Sunday,2024-01-28,0,10:30
Sunday,2024-01-28,0,11:00
Sunday,2024-01-28,3,11:30
Sunday,2024-01-28,5,12:06
Sunday,2024-01-28,10,12:50
Sunday,2024-01-28,12,13:45
Sunday,2024-01-28,12,14:10
Sunday,2024-01-28,7,14:30
Sunday,2024-01-28,7,15:00
Sunday,2024-01-28,5,15:30
Sunday,2024-01-28,13,16:00
Sunday,2024-01-28,12,16:30
Sunday,2024-01-28,3,17:00
Sunday,2024-01-28,3,17:30
Sunday,2024-01-28,8,18:00
Sunday,2024-01-28,12,18:45
Sunday,2024-01-28,13,19:40
Sunday,2024-01-28,11,20:00
Sunday,2024-01-28,12,20:30
Monday,2024-01-29,7,11:00
Monday,2024-01-29,3,11:30
Monday,2024-01-29,6,12:35
Monday,2024-01-29,5,13:02
Monday,2024-01-29,5,13:30
Monday,2024-01-29,2,14:45
Monday,2024-01-29,1,15:00
Monday,2024-01-29,5,15:10
