Date,Unique ID,Console,Game,# of Controllers,Time In,Time Out,Duration (minutes)
1/22,1,Wii,Mario Kart,1,17:16,18:00,44
1/24,2,Xbox,Madden 22,2,12:05,13:22,77
1/24,3,Wii,Wii Sports,2,12:30,13:50,80
1/24,4,Wii,Wii Sports,2,14:54,15:21,27
1/24,5,Wii,Mario Kart,2,16:57,18:00,63
1/24,6,Xbox,Call of Duty: Black Ops 3,2,18:07,18:48,41
1/24,7,Xbox,Call of Duty: Black Ops 3,2,18:46,19:40,54
1/24,8,Wii,Mario Kart,3,19:55,20:33,38
1/24,9,Xbox,Call of Duty: Black Ops 3,4,20:16,20:46,30
1/24,10,wii,Wii Sports,4,20:37,21:20,43
1/24,11,Xbox,Call of Duty: Black Ops 3,3,21:13,21:50,37
1/25,12,Wii,Mario Kart,4,14:42,15:37,55
1/25,13,Wii,Mario Kart,4,17:54,18:34,40
1/25,14,Xbox,Overwatch: Origins Edition,2,17:59,18:13,14
1/25,14,Wii,Mario Kart,2,18:37,19:07,30
1/25,15,Wii,Wii Sports,2,19:15,19:50,35
1/25,16,Wii,Mario Kart,3,21:18,21:58,40
1/26,17,PlayStation,FIFA 22,2,12:52,13:57,65
1/26,18,Wii,Mario Kart,2,13:13,13:58,45
1/26,19,Wii,Guitar Hero 5,2,14:16,15:28,72
1/26,20,Xbox,Madden 22,2,14:44,15:32,48
1/26,21,Xbox,Madden 22,2,15:39,18:00,141
1/26,22,Xbox,FIFA 16,2,17:00,18:10,70
1/26,23,Wii,Mario Kart,2,17:10,18:04,54
1/27,24,Wii,Mario Kart,2,11:50,12:38,48
1/27,25,Xbox,Madden 22,2,13:42,14:19,37
1/27,20,Xbox,Madden 22,3,14:41,14:56,15
1/27,26,Wii,Rayman Raving Rabbids,2,16:10,16:57,47
1/27,27,Wii,Wii Sports,3,17:15,18:47,92
1/27,28,Xbox,Minecraft,2,17:54,18:20,26
1/27,29,Xbox,Call of Duty: Black Ops 3,4,18:17,19:21,64
1/27,30,Xbox,Madden 22,2,19:58,21:26,88
1/27,12,Wii,Mario Kart,4,20:16,21:00,44
1/28,31,Wii,Just Dance: Greatest Hits,4,13:06,14:16,70
1/28,32,Xbox,Call of Duty: Black Ops 3,2,13:39,14:11,32
1/28,19,Wii,Mario Kart,3,15:47,17:02,75
1/28,33,Wii,Mario Kart,3,18:57,19:45,48
1/28,34,Wii,Mario Kart,3,20:15,21:10,55
1/28,8,Xbox,Call of Duty: Black Ops 3,3,21:15,21:53,38
1/29,35,PlayStation,FIFA 22,2,12:57,13:48,51
1/29,2,Xbox,Madden 22,2,13:00,13:52,52
1/29,36,Wii,Wii Sports,4,18:09,19:30,81
1/29,1,Wii,Mario Kart,1,20:00,21:25,85
1/29,8,Xbox,Call of Duty: Black Ops 3,3,20:20,21:25,65
1/30,2,Xbox,Madden 22,2,11:53,12:28,35
1/30,35,PlayStation,FIFA 22,2,13:02,13:50,48
1/30,3,Xbox,NBA 2K22,2,13:07,14:00,53
2/1,1,Wii,Mario Kart,1,17:41,20:08,147
2/1,34,Wii,Mario Kart,4,20:28,21:24,56
2/2,37,Xbox,Unspecified,2,11:57,13:18,81
2/2,2,PlayStation,Unspecified,2,11:59,12:03,4
2/2,2,PlayStation,Unspecified,2,13:53,14:41,48
2/2,36,Wii,Wii Sports,3,14:09,14:13,4
2/2,35,PlayStation,FIFA 22,2,15:06,16:02,56
2/2,38,Xbox,Call of Duty: Black Ops 3,2,19:08,21:04,116
2/2,39,Xbox,Madden 22,2,21:32,22:44,72
